epoch,bw_idx,Bitrate(bps),Selected,CodebookUsage,CodeUtil(%),TimeLoss(e-3),FreqLoss(e-3),FeatLoss(e-3),AdvLoss(e-3),DisLoss(e-3),CommitLoss(e-6),PESQ,ESTOI,TotalScore
32,0,300,519,128/128,98.30793127099248,36.4403396069659,146.3439204731888,19.598091548750165,487.59841057606513,878.9557321912291,10625.680393551931,1.8726021103236987,0.5617018141778319,0.548
32,1,600,998,256/256,98.87909175570302,30.13216929401986,104.71890975006357,13.687561886694901,552.5291584402263,861.2079352797392,14971.13566196156,2.3199090128359585,0.6560347170994112,0.548
32,2,1200,1483,512/512,99.41928497802895,25.944733729715374,86.4472051709388,11.110976192690758,534.5745782191417,773.732675142732,17639.97608776922,2.59709704440573,0.7119910671593501,0.548
33,0,300,511,128/128,98.40879410836436,36.43518925048484,146.02994426005975,19.380664773679058,492.1141246993481,878.0703402312068,9767.506967814468,1.8859254484591277,0.564780567692665,0.549
33,1,600,1067,256/256,98.94944712930923,30.105662244985677,103.98493455801484,13.591163274993546,555.5857002399966,860.2181587022604,13796.670500262384,2.307691480802453,0.6580145185119766,0.549
33,2,1200,1422,512/512,99.45786084977733,25.843261856370923,85.89581535859283,11.078264953309223,533.4340657530622,771.740206560505,16228.447346679563,2.5989082896191142,0.7135975198718689,0.549
34,0,300,502,128/128,98.4397331361223,36.43697734358182,145.6227256690126,19.23744426854697,495.4642052966285,875.7519187680278,8912.352995345911,1.8849948489147683,0.5660578843452132,0.551
34,1,600,1037,256/256,98.98343938609014,29.878730543511008,103.6569072704191,13.518381379760278,551.7379251113853,856.8144318222885,12577.48627835811,2.3135282319525015,0.6592419507619033,0.551
34,2,1200,1461,512/512,99.47688766268355,25.559247341988677,84.56967466604539,11.015049133431944,535.1688783210406,772.5294420443358,14847.438128424132,2.615774901016899,0.7169570827386128,0.551
35,0,300,531,128/128,98.49927935895728,36.1900016062116,144.4372727681239,18.960100495153004,493.8229120418906,875.0319477528502,8397.251271981248,1.8925767204035884,0.5664155270480635,0.554
35,1,600,986,256/256,99.04369902459693,29.924044128635835,102.90714330653873,13.542155685133734,555.2365071995988,855.2998762585329,11921.036865705772,2.3414255328800366,0.662107617521771,0.554
35,2,1200,1483,512/512,99.50927773549647,25.400744364248364,83.84279939405675,10.983830773154185,537.3464082031738,771.4638636068806,13996.805590015365,2.636146182599275,0.7194178026829594,0.554
36,0,300,528,128/128,98.51639727175012,36.0823656065446,143.899036430274,18.745417960665442,497.0177536491643,873.7364239764936,7725.146179313235,1.8988169535346653,0.5681357304918467,0.555
36,1,600,992,256/256,99.06196388869371,29.691050506963006,102.01587868223507,13.421303516576788,552.4085952314518,854.0881455184951,10933.445921475668,2.3500318838202436,0.6631388544436222,0.555
36,2,1200,1480,512/512,99.51852760460423,25.40883222041098,83.4324274614856,11.020812723861152,540.7165478914976,768.619381575971,12895.421057033378,2.645454551862634,0.7205214172744558,0.555
37,0,300,521,128/128,98.55734173840249,36.17577399565139,144.1026888144222,18.554528835524525,495.0342943137529,873.3103340509529,7196.744845826143,1.8892570785854175,0.5673769624210675,0.555
37,1,600,1000,256/256,99.10450113808334,29.636417537927628,101.7838657349348,13.290838651359081,551.0988859832287,851.6520747542381,10167.486290447414,2.35289132076761,0.6635335243502009,0.555
37,2,1200,1479,512/512,99.54185574878947,25.324083428938216,83.06820477542239,10.960023789121905,542.9757963954153,766.5573291636706,11973.366788018588,2.655484800753386,0.721117844123426,0.555
38,0,300,512,128/128,98.56501716805404,36.113161742832744,143.51257140515372,18.501737091355608,494.54325283295475,871.7652579071,6730.5106358617195,1.903765699137812,0.5689206410668352,0.557
38,1,600,1007,256/256,99.11072679672843,29.453141796065065,101.0051033983993,13.289232253695374,556.4241570706341,848.4546893166217,9504.505516378562,2.3699903591819433,0.6639941002616264,0.557
38,2,1200,1481,512/512,99.5446617872149,25.17972544217979,82.26954670350025,10.93337898174707,545.2500382824414,764.9370809811985,11196.639198258992,2.66588484722635,0.7222913637080962,0.557
39,0,300,520,128/128,98.63828725318768,36.008185603154395,142.68267042934895,18.382035367763958,497.9944976476523,869.68864855858,6293.510805922919,1.9087784756784854,0.5715765044248857,0.557
39,1,600,1009,256/256,99.15502943767443,29.485670624465133,100.46740460354462,13.329303922174116,552.9695119121739,846.9698173321628,8887.268689611505,2.3548800012339717,0.6648485738618015,0.557
39,2,1200,1471,512/512,99.56773483449588,25.038067935215704,81.73326342629382,10.91898324944327,547.2239590700106,762.5363750331342,10519.047887561517,2.665138680001964,0.7227020735912449,0.557
40,0,300,487,128/128,98.67471341746227,35.954050341089406,143.2703013935373,18.372043686129107,494.9340283625914,866.8352497676559,5816.069125624285,1.9014847745066104,0.5698641003075233,0.558
40,1,600,1021,256/256,99.18614696757412,29.32091196497262,100.08047615979724,13.273597816251634,556.0612054751506,846.7586564153695,8219.885578731131,2.379090589025746,0.666289905528049,0.558
40,2,1200,1492,512/512,99.58376083580595,24.860030510799895,80.93658290883332,10.91937797054169,552.229824827999,760.376739118438,9674.007014993169,2.6747316899506943,0.7236873477612721,0.558
41,0,300,495,128/128,98.69449139511532,35.673798549205365,142.26094485834392,18.170343779704787,495.29925906899,865.8613208568457,5394.238081168045,1.903828880061274,0.5699609914425492,0.56
41,1,600,957,256/256,99.21367836607705,29.178348633625166,99.58440098082384,13.226876807055566,554.619170733131,845.0463721246431,7634.522495041976,2.3835595898006274,0.666680741301018,0.56
41,2,1200,1548,512/512,99.5986328307053,24.718005707107235,80.65744625640316,10.855716084026628,549.008206890304,762.4689119576792,8991.760255898847,2.6898169413856836,0.7251760427521465,0.56
42,0,300,508,128/128,98.70012616300289,35.579605666025884,141.45878708268714,18.083694247954238,497.91774620104025,866.0872089346562,5051.941439458059,1.8955366870631343,0.5672640492916866,0.56
42,1,600,991,256/256,99.22054867425497,29.169994980608056,99.55663565550033,13.35727587703138,556.5728769382964,842.5768443602245,7143.252708232096,2.3949490785598755,0.6677282236930608,0.56
42,2,1200,1501,512/512,99.60253666760282,24.64777315724182,80.08827083929629,10.917526967624955,551.5655103740813,759.837013018441,8416.438360464605,2.7037826310033384,0.7258227545832566,0.56
43,0,300,479,128/128,98.77915264242166,35.66218780388663,141.75053275266123,18.051174910649625,494.57982254053206,863.3276430699422,4643.08211708243,1.898963425470435,0.5706491753674731,0.561
43,1,600,1014,256/256,99.27413027299521,29.105547119365525,99.24251178400756,13.192449708302052,558.7162691548731,840.9100477629629,6546.647805000492,2.3965972402821416,0.668639655345239,0.561
43,2,1200,1507,512/512,99.63067322338371,24.56724865692059,79.75469735298397,10.885459884467233,555.4281595770539,758.0061390768556,7714.006878922594,2.7061894147292427,0.7272783660062838,0.561
44,0,300,483,128/128,98.83195704086238,35.77633158112905,142.10672778372438,18.021342292520572,493.0816282389018,862.3444840281153,4294.276150236558,1.9160746232323025,0.5724972782806345,0.563
44,1,600,988,256/256,99.31750118140069,29.23560706589386,98.85799373511361,13.374781616876724,558.6123762705065,839.6856030713209,6079.404982964429,2.4065935611724854,0.6703799058696898,0.563
44,2,1200,1529,512/512,99.65203186681765,24.567760558807436,79.62094614266414,10.927656454084705,558.885467225933,756.3826395375344,7149.232090667056,2.715344356453937,0.7284034781272182,0.563
45,0,300,498,128/128,98.88802341489787,35.62620149020211,141.2275433091514,17.90909718602417,496.02857558243727,860.1222186682214,4002.671567704454,1.9087159270825593,0.5714475792431566,0.562
45,1,600,975,256/256,99.35168869604716,29.013960317541393,98.75647500539438,13.227149923451435,557.2017897703709,838.5851078767043,5673.896390944719,2.396880725155706,0.6695028715033174,0.562
45,2,1200,1527,512/512,99.66949552382029,24.49278197523887,79.1026543003715,10.956447615429086,560.3376416966427,754.5449961301308,6679.407102876168,2.715929114300272,0.7277695030313049,0.562
46,0,300,489,128/128,98.86762662418754,35.54769961167211,141.35335586919376,17.80825452441026,499.94623261848596,859.6181595252335,3768.0374056573173,1.9140491226445073,0.574099400802953,0.564
46,1,600,975,256/256,99.34844697953781,28.929103557498028,98.4468189951701,13.221415926057558,557.917842849707,839.1345008825645,5323.20777575175,2.410073726073555,0.6710905042323293,0.564
46,2,1200,1536,512/512,99.66751346394814,24.26806628864142,78.81872618357495,11.00771077835816,562.7967677816438,754.180133032302,6264.5405287184985,2.733714114064756,0.7293318010127345,0.564
47,0,300,505,128/128,98.91602752844663,35.60984770555307,141.14168013381487,17.80080831434467,497.3385140299797,858.802880509065,3575.85826031126,1.920445556225984,0.5755967315717251,0.565
47,1,600,1026,256/256,99.37989970421116,28.842918799925037,98.18948301365036,13.242104311326617,556.0951786983547,837.5819726877975,5042.0286142962605,2.40554172059764,0.6713968539963174,0.565
47,2,1200,1469,512/512,99.68303339897682,24.217912732002848,78.70270422906434,11.081913912794352,564.5989244023986,749.9993821647882,5931.8584117371465,2.737112397732942,0.7300390162977813,0.565
48,0,300,530,128/128,98.87556587094002,35.50678247691325,140.91258158661284,17.639827441845863,498.4203468375611,858.6111911062924,3414.1216695062676,1.9234070311421934,0.5748470671588293,0.566
48,1,600,972,256/256,99.3640138703726,28.834635916898034,98.18158448968896,13.175006410674241,556.4302912464848,834.0124657124649,4832.935781570711,2.428808813509734,0.6729249088899066,0.566
48,2,1200,1498,512/512,99.67516358855626,24.082564663027572,78.09815361339832,11.040456377303052,566.8872335704369,748.2865820421237,5686.5143419326705,2.7390852596448814,0.7314150978512286,0.566
49,0,300,464,128/128,98.88516297461602,35.18320807127346,140.31067458463127,17.438541933219753,494.2515910570991,856.9469386390571,3174.851789010753,1.9208315299904866,0.5742522745740719,0.567
49,1,600,1010,256/256,99.36907901524627,28.52752729881518,97.67227175064606,13.033317825249812,551.9709669422396,831.663333602471,4490.969019324178,2.435732126235962,0.6730450770558237,0.567
49,2,1200,1526,512/512,99.67760288070957,23.830183649857968,77.71908509914871,10.998074448060825,567.1745707789927,745.5758198529364,5285.372503521714,2.7447057910587476,0.7320818305128582,0.567
50,0,300,467,128/128,98.87882773194086,35.05715276304098,140.5898999957252,17.396144365504927,493.6431500207178,854.7233863867325,2956.2279692705424,1.9168546096138332,0.5736112407135115,0.566
50,1,600,1042,256/256,99.37379118822194,28.392702401857,97.17340943995227,13.031640266123695,551.518018538,829.7842139817932,4182.727214873137,2.425696963849275,0.6726030306799525,0.566
50,2,1200,1491,512/512,99.67987160043339,23.803042375315844,77.58680994901619,11.069181156585195,570.2576277381537,743.1034863115077,4924.604772901791,2.7490978655607803,0.7320451489199918,0.566
51,0,300,506,128/128,98.92850777975396,34.8736746678416,139.8629159795437,17.216597516236924,495.43458046649283,854.5539574660803,2841.6347485624638,1.9039190437482751,0.5721261418986789,0.565
51,1,600,985,256/256,99.40465351339202,28.24909423057198,96.96179085274034,12.969462737100681,552.6728927937861,829.7684255590293,4014.311252199681,2.418815799381422,0.6730153871498998,0.565
